Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Easily distracted,Good stamina,Always distracted,Quick to anger,Rarely feel tired,Foggy mind,Always distracted,Sharp memory,Always distracted,Always distracted,Sharp memory,Forgetful,Loses focus,Indifferent,Loses focus,Always distracted,No energy at all,Loses focus,Rarely feel tired,Quick to anger,At Risk
Drained,Easily distracted,Quick to anger,Always distracted,Sharp memory,Easily distracted,Rarely feel tired,Foggy mind,Drained,Not motivated,Drained,Loses focus,Indifferent,Rarely feel tired,Good focus,Low mood,Foggy mind,Not motivated,I recharge through entertainment,Forgetful,At Risk
Quick to anger,Not motivated,Rarely feel tired,Forgetful,Quick to anger,Foggy mind,Not motivated,Drained,Quick to anger,I recharge through entertainment,Forgetful,Easily distracted,Emotionally stable,Loses focus,No energy at all,Rarely feel tired,Indifferent,Quick to anger,Rarely feel tired,Self-aware,At Risk
I recharge through entertainment,Invested,Self-aware,Quick to anger,Good focus,Positive outlook,Invested,Indifferent,Emotionally stable,In good physical condition,No energy at all,Patient,Good stamina,Good stamina,Good focus,Few mistakes,Indifferent,Ready to go,Emotionally stable,Refreshed,Normal
Indifferent,Invested,Invested,Positive outlook,Sharp memory,Clear-minded,Good stamina,Rarely feel tired,Invested,Always distracted,Sharp memory,Foggy mind,Refreshed,Good stamina,Few mistakes,I recharge through entertainment,Indifferent,Positive outlook,Drained,Focused,Normal
Quick to anger,Always distracted,Clear-minded,Focused,Foggy mind,Forgetful,No energy at all,Refreshed,Good stamina,Indifferent,Invested,Enthusiastic,Mostly engaged,Ready to go,Challenging but good,Drained,Focused,Good stamina,No energy at all,Clear-minded,Needs Monitoring
Foggy mind,Ready to go,Low mood,Loses focus,Always distracted,Loses focus,Drained,Always distracted,Self-aware,Indifferent,No energy at all,Always distracted,Rarely feel tired,Indifferent,Mostly engaged,Low mood,Not motivated,Easily distracted,Easily distracted,Easily distracted,At Risk
Challenging but good,Enthusiastic,In good physical condition,Invested,Good focus,Mostly engaged,Positive outlook,Emotionally stable,Few mistakes,Challenging but good,Focused,Forgetful,Rarely feel tired,Good focus,I recharge through entertainment,Emotionally stable,Refreshed,Mostly engaged,Mostly engaged,Mostly engaged,Normal
Quick to anger,Focused,Indifferent,Rarely feel tired,Low mood,Forgetful,Always distracted,Low mood,Quick to anger,Loses focus,Invested,Forgetful,Rarely feel tired,Challenging but good,Self-aware,Easily distracted,Foggy mind,Always distracted,Quick to anger,Indifferent,At Risk
Clear-minded,No energy at all,Positive outlook,Forgetful,Emotionally stable,I recharge through entertainment,Few mistakes,Emotionally stable,Challenging but good,Rarely feel tired,Focused,Few mistakes,Ready to go,Enthusiastic,Emotionally stable,Positive outlook,Good focus,Mostly engaged,Focused,Ready to go,Normal
In good physical condition,Challenging but good,Self-aware,Quick to anger,Quick to anger,Rarely feel tired,Good focus,Indifferent,Enthusiastic,Good stamina,Quick to anger,Not motivated,Self-aware,Positive outlook,Easily distracted,Invested,Drained,Low mood,Indifferent,I recharge through entertainment,Needs Monitoring
No energy at all,Easily distracted,Quick to anger,Mostly engaged,Good stamina,Good stamina,Sharp memory,Foggy mind,Rarely feel tired,Not motivated,Low mood,Forgetful,Indifferent,Quick to anger,Indifferent,No energy at all,Easily distracted,I recharge through entertainment,Low mood,Refreshed,At Risk
Always distracted,Rarely feel tired,Easily distracted,Low mood,Loses focus,Drained,Mostly engaged,Rarely feel tired,Drained,Forgetful,Easily distracted,Forgetful,Good stamina,Always distracted,Indifferent,Good focus,Drained,Low mood,Rarely feel tired,Forgetful,At Risk
Good focus,Low mood,Quick to anger,Indifferent,Forgetful,Drained,Drained,Few mistakes,I recharge through entertainment,Clear-minded,Always distracted,Self-aware,Patient,Easily distracted,Good focus,Indifferent,Challenging but good,No energy at all,Forgetful,Foggy mind,At Risk
Emotionally stable,Loses focus,Few mistakes,Mostly engaged,Sharp memory,Few mistakes,Patient,Low mood,Easily distracted,Drained,Quick to anger,Positive outlook,Positive outlook,Low mood,Invested,Emotionally stable,Good stamina,Refreshed,Good focus,Ready to go,Normal
Patient,Always distracted,Emotionally stable,Good focus,Quick to anger,Ready to go,Patient,Refreshed,Not motivated,Emotionally stable,Good focus,Always distracted,Refreshed,Challenging but good,Challenging but good,Forgetful,Sharp memory,Drained,Ready to go,Patient,Normal
Drained,Drained,Easily distracted,Self-aware,No energy at all,Indifferent,Few mistakes,Quick to anger,Drained,Mostly engaged,Low mood,Patient,Indifferent,Emotionally stable,Clear-minded,Quick to anger,Low mood,Indifferent,Forgetful,Loses focus,At Risk
Few mistakes,Challenging but good,Invested,Patient,Good focus,Enthusiastic,Self-aware,Sharp memory,Few mistakes,Patient,Focused,Sharp memory,Always distracted,Drained,No energy at all,Emotionally stable,Clear-minded,Mostly engaged,Low mood,Low mood,Normal
Rarely feel tired,Few mistakes,Easily distracted,Enthusiastic,Focused,Forgetful,Low mood,Good stamina,Patient,Focused,Focused,Easily distracted,Foggy mind,Indifferent,Always distracted,Rarely feel tired,Good stamina,Always distracted,Ready to go,Enthusiastic,Needs Monitoring
Good stamina,I recharge through entertainment,Challenging but good,Not motivated,Good focus,Foggy mind,Drained,Mostly engaged,Invested,Few mistakes,Focused,Patient,Self-aware,Focused,Focused,Few mistakes,Easily distracted,I recharge through entertainment,Few mistakes,Positive outlook,Normal
Challenging but good,Loses focus,Foggy mind,Not motivated,Rarely feel tired,Loses focus,Rarely feel tired,Forgetful,Quick to anger,Drained,Foggy mind,Easily distracted,Indifferent,Rarely feel tired,Easily distracted,Loses focus,No energy at all,No energy at all,Low mood,Low mood,At Risk
Forgetful,Drained,Enthusiastic,I recharge through entertainment,Loses focus,No energy at all,Self-aware,Foggy mind,Clear-minded,Mostly engaged,Challenging but good,I recharge through entertainment,Enthusiastic,Indifferent,Invested,Forgetful,Few mistakes,Refreshed,Enthusiastic,Sharp memory,Normal
Patient,Focused,Enthusiastic,Emotionally stable,Good focus,Enthusiastic,I recharge through entertainment,In good physical condition,Clear-minded,Self-aware,Invested,I recharge through entertainment,Refreshed,Emotionally stable,Loses focus,No energy at all,Self-aware,Enthusiastic,Invested,Clear-minded,Normal
Enthusiastic,Good focus,Mostly engaged,Few mistakes,Clear-minded,Emotionally stable,In good physical condition,Patient,Ready to go,Enthusiastic,Refreshed,Few mistakes,Easily distracted,Ready to go,Emotionally stable,In good physical condition,Ready to go,Clear-minded,Positive outlook,Easily distracted,Normal
Invested,Good focus,Good focus,I recharge through entertainment,Patient,No energy at all,Sharp memory,Focused,Good stamina,Indifferent,Invested,Good focus,Good stamina,Challenging but good,Few mistakes,Mostly engaged,Challenging but good,Mostly engaged,Self-aware,Good focus,Normal
Mostly engaged,Refreshed,Enthusiastic,Patient,Few mistakes,Easily distracted,I recharge through entertainment,Self-aware,Refreshed,Invested,Enthusiastic,Good stamina,Good focus,Good stamina,Mostly engaged,Not motivated,Invested,Good focus,Clear-minded,Refreshed,Normal
Good focus,Clear-minded,Good stamina,Focused,Easily distracted,Self-aware,Sharp memory,Sharp memory,Emotionally stable,Refreshed,Clear-minded,Indifferent,Invested,Invested,I recharge through entertainment,Good focus,Clear-minded,Ready to go,I recharge through entertainment,In good physical condition,Normal
Enthusiastic,Emotionally stable,Easily distracted,Clear-minded,Loses focus,Mostly engaged,Always distracted,Always distracted,Clear-minded,Loses focus,Easily distracted,Drained,Sharp memory,Mostly engaged,Quick to anger,Emotionally stable,Rarely feel tired,Easily distracted,Foggy mind,Not motivated,At Risk
Easily distracted,Foggy mind,Rarely feel tired,Quick to anger,Few mistakes,Low mood,Sharp memory,Not motivated,Clear-minded,Forgetful,In good physical condition,Quick to anger,Quick to anger,Drained,Forgetful,Quick to anger,Mostly engaged,Sharp memory,Rarely feel tired,Emotionally stable,At Risk
Drained,Invested,Focused,Quick to anger,Foggy mind,Positive outlook,Quick to anger,No energy at all,Rarely feel tired,Ready to go,Few mistakes,Focused,Easily distracted,Positive outlook,Mostly engaged,Forgetful,Foggy mind,Refreshed,Patient,Patient,Needs Monitoring
Quick to anger,Low mood,Easily distracted,Easily distracted,Indifferent,Not motivated,Forgetful,Foggy mind,Not motivated,Foggy mind,Loses focus,Easily distracted,Easily distracted,Low mood,Loses focus,Not motivated,Foggy mind,Indifferent,Not motivated,Indifferent,At Risk
Drained,Forgetful,Rarely feel tired,Ready to go,Quick to anger,Ready to go,Indifferent,Forgetful,Emotionally stable,Foggy mind,Indifferent,Not motivated,Loses focus,Mostly engaged,Drained,No energy at all,Foggy mind,Indifferent,Patient,Low mood,At Risk
Indifferent,Indifferent,Sharp memory,Foggy mind,Invested,In good physical condition,Mostly engaged,Clear-minded,Easily distracted,In good physical condition,Low mood,Good stamina,Refreshed,In good physical condition,Positive outlook,Clear-minded,Challenging but good,Emotionally stable,Challenging but good,Clear-minded,Normal
Challenging but good,Few mistakes,Mostly engaged,I recharge through entertainment,Good focus,Easily distracted,Focused,Positive outlook,Few mistakes,Ready to go,Positive outlook,Patient,Few mistakes,Few mistakes,Sharp memory,Focused,Not motivated,Good focus,Always distracted,Enthusiastic,Normal
Few mistakes,I recharge through entertainment,Positive outlook,I recharge through entertainment,In good physical condition,Invested,Foggy mind,Few mistakes,Loses focus,Foggy mind,Challenging but good,Challenging but good,Clear-minded,Refreshed,Sharp memory,Few mistakes,Self-aware,I recharge through entertainment,Emotionally stable,Focused,Normal
Indifferent,No energy at all,Drained,Self-aware,Few mistakes,Low mood,Always distracted,I recharge through entertainment,Not motivated,Positive outlook,Enthusiastic,Indifferent,Ready to go,Foggy mind,Refreshed,No energy at all,No energy at all,Rarely feel tired,Invested,Loses focus,At Risk
I recharge through entertainment,Clear-minded,Few mistakes,Emotionally stable,Focused,Few mistakes,Invested,Emotionally stable,Few mistakes,Positive outlook,Challenging but good,Good stamina,Mostly engaged,Refreshed,Rarely feel tired,Few mistakes,Sharp memory,Self-aware,Good stamina,Refreshed,Normal
Easily distracted,Forgetful,Not motivated,I recharge through entertainment,No energy at all,Always distracted,Always distracted,Indifferent,Loses focus,Loses focus,Challenging but good,Good stamina,Low mood,No energy at all,Always distracted,Indifferent,Drained,Refreshed,Always distracted,No energy at all,At Risk
Sharp memory,Emotionally stable,Not motivated,Ready to go,Good focus,Rarely feel tired,Challenging but good,Focused,Low mood,Indifferent,Quick to anger,Not motivated,Drained,Loses focus,Invested,Drained,Drained,Loses focus,Foggy mind,Loses focus,At Risk
Loses focus,Drained,Low mood,Good focus,Low mood,Always distracted,Indifferent,In good physical condition,Low mood,Positive outlook,Clear-minded,Good stamina,Easily distracted,Quick to anger,Enthusiastic,Always distracted,In good physical condition,Quick to anger,Indifferent,Rarely feel tired,At Risk
Invested,Emotionally stable,Focused,Low mood,Few mistakes,Focused,Loses focus,I recharge through entertainment,I recharge through entertainment,I recharge through entertainment,Enthusiastic,Loses focus,Refreshed,Emotionally stable,I recharge through entertainment,Patient,Self-aware,Emotionally stable,Easily distracted,Drained,Normal
Good stamina,Ready to go,Loses focus,Quick to anger,Self-aware,Invested,Rarely feel tired,Not motivated,Quick to anger,Indifferent,Easily distracted,Ready to go,Focused,Ready to go,Loses focus,Drained,Positive outlook,Good focus,Quick to anger,Mostly engaged,Needs Monitoring
I recharge through entertainment,No energy at all,Positive outlook,Indifferent,In good physical condition,Easily distracted,Not motivated,Foggy mind,Forgetful,Quick to anger,Good stamina,Focused,I recharge through entertainment,In good physical condition,Invested,I recharge through entertainment,Positive outlook,I recharge through entertainment,Drained,Few mistakes,Needs Monitoring
Rarely feel tired,Forgetful,Drained,Self-aware,Good focus,Rarely feel tired,Rarely feel tired,Positive outlook,Few mistakes,Invested,Always distracted,Refreshed,Refreshed,Foggy mind,Enthusiastic,Self-aware,Mostly engaged,Drained,Positive outlook,Easily distracted,Needs Monitoring
Foggy mind,Quick to anger,Mostly engaged,I recharge through entertainment,Patient,I recharge through entertainment,Good stamina,Refreshed,Challenging but good,Loses focus,Loses focus,Sharp memory,Loses focus,Ready to go,Emotionally stable,Mostly engaged,In good physical condition,Few mistakes,Rarely feel tired,Patient,Normal
Forgetful,Positive outlook,Foggy mind,Low mood,Quick to anger,Quick to anger,Patient,Foggy mind,Patient,Refreshed,Forgetful,Rarely feel tired,Easily distracted,Self-aware,Forgetful,Self-aware,Quick to anger,Always distracted,Low mood,Loses focus,At Risk
Good focus,Mostly engaged,Patient,Challenging but good,Focused,Self-aware,In good physical condition,Foggy mind,Challenging but good,Patient,Refreshed,Ready to go,Patient,Positive outlook,Mostly engaged,Few mistakes,Good stamina,Good stamina,Ready to go,Positive outlook,Normal
Self-aware,Forgetful,Positive outlook,Invested,Foggy mind,Mostly engaged,Quick to anger,Sharp memory,Always distracted,Sharp memory,Patient,Clear-minded,Self-aware,Drained,I recharge through entertainment,Rarely feel tired,Low mood,Self-aware,Drained,Always distracted,Needs Monitoring
Quick to anger,Low mood,No energy at all,Always distracted,Good stamina,Enthusiastic,Easily distracted,Loses focus,Not motivated,Loses focus,Forgetful,No energy at all,Easily distracted,Quick to anger,Loses focus,Easily distracted,Challenging but good,Low mood,Foggy mind,Easily distracted,At Risk
Patient,In good physical condition,Rarely feel tired,Good focus,Always distracted,Drained,Low mood,Easily distracted,Quick to anger,Always distracted,Not motivated,Quick to anger,Not motivated,Clear-minded,Always distracted,Indifferent,Not motivated,Loses focus,Foggy mind,Rarely feel tired,At Risk
Not motivated,Few mistakes,Good stamina,Quick to anger,Always distracted,Loses focus,Rarely feel tired,Easily distracted,Patient,Few mistakes,Focused,Quick to anger,Indifferent,Few mistakes,Patient,Indifferent,Ready to go,Few mistakes,Good stamina,Low mood,Needs Monitoring
Not motivated,Rarely feel tired,Always distracted,Drained,Few mistakes,Indifferent,Forgetful,Self-aware,Rarely feel tired,Not motivated,Enthusiastic,Foggy mind,Not motivated,Not motivated,Low mood,Refreshed,Self-aware,Always distracted,Indifferent,No energy at all,At Risk
Enthusiastic,Ready to go,Not motivated,No energy at all,Forgetful,Always distracted,Indifferent,Easily distracted,Rarely feel tired,Emotionally stable,Challenging but good,Not motivated,Low mood,Challenging but good,Not motivated,Forgetful,Loses focus,Challenging but good,Clear-minded,Clear-minded,At Risk
In good physical condition,Refreshed,Challenging but good,Clear-minded,Focused,Good focus,Patient,Sharp memory,Low mood,Refreshed,In good physical condition,Good focus,Good focus,No energy at all,Emotionally stable,Ready to go,Good stamina,Emotionally stable,Drained,Challenging but good,Normal
Good focus,Few mistakes,Loses focus,Indifferent,Rarely feel tired,No energy at all,Self-aware,Refreshed,In good physical condition,In good physical condition,Drained,Rarely feel tired,No energy at all,I recharge through entertainment,Forgetful,Easily distracted,Loses focus,Few mistakes,Mostly engaged,Good focus,Needs Monitoring
Clear-minded,Drained,Ready to go,Low mood,Rarely feel tired,Ready to go,Challenging but good,Sharp memory,Rarely feel tired,Enthusiastic,Loses focus,Drained,Indifferent,Rarely feel tired,Drained,Quick to anger,Easily distracted,Foggy mind,No energy at all,Rarely feel tired,At Risk
Always distracted,Drained,Low mood,Indifferent,Foggy mind,Enthusiastic,Good focus,Foggy mind,Clear-minded,No energy at all,Quick to anger,Drained,Drained,Foggy mind,Loses focus,Rarely feel tired,Loses focus,No energy at all,Forgetful,Easily distracted,At Risk
Forgetful,Rarely feel tired,Foggy mind,Rarely feel tired,Challenging but good,Clear-minded,Patient,Loses focus,Always distracted,Easily distracted,Rarely feel tired,Low mood,Drained,Indifferent,Few mistakes,Always distracted,Forgetful,Rarely feel tired,Invested,Emotionally stable,At Risk
Sharp memory,Focused,Self-aware,Ready to go,Refreshed,Few mistakes,Ready to go,Refreshed,Refreshed,I recharge through entertainment,I recharge through entertainment,Self-aware,Patient,Indifferent,Patient,Focused,I recharge through entertainment,Good stamina,Patient,Mostly engaged,Normal
Always distracted,Invested,Forgetful,Foggy mind,Not motivated,In good physical condition,Sharp memory,In good physical condition,I recharge through entertainment,Good focus,Not motivated,No energy at all,Rarely feel tired,Loses focus,Mostly engaged,Always distracted,Not motivated,Patient,Not motivated,Drained,At Risk
Mostly engaged,Refreshed,Ready to go,Low mood,Good stamina,Not motivated,Low mood,Self-aware,Forgetful,Indifferent,Forgetful,Sharp memory,Mostly engaged,Low mood,Challenging but good,Easily distracted,Drained,Good stamina,Invested,Good stamina,Needs Monitoring
Sharp memory,Patient,Good focus,Patient,Loses focus,Clear-minded,Focused,Invested,Enthusiastic,In good physical condition,Ready to go,Positive outlook,Patient,Invested,Patient,Invested,Challenging but good,Sharp memory,Focused,Few mistakes,Normal
Quick to anger,Loses focus,Rarely feel tired,Quick to anger,Drained,Quick to anger,Drained,Low mood,Sharp memory,Foggy mind,Foggy mind,Easily distracted,Always distracted,Foggy mind,No energy at all,Always distracted,Loses focus,Quick to anger,Foggy mind,Indifferent,At Risk
Low mood,Foggy mind,Always distracted,Not motivated,Good stamina,Invested,Low mood,Positive outlook,Positive outlook,Drained,In good physical condition,Good focus,Drained,Loses focus,Not motivated,Loses focus,Loses focus,Clear-minded,Foggy mind,Indifferent,At Risk
Foggy mind,Always distracted,Drained,Rarely feel tired,Rarely feel tired,No energy at all,Foggy mind,Always distracted,Foggy mind,Easily distracted,Foggy mind,Enthusiastic,Indifferent,I recharge through entertainment,Loses focus,Loses focus,Always distracted,Quick to anger,Quick to anger,Foggy mind,At Risk
Good focus,Always distracted,Good stamina,Challenging but good,Sharp memory,Patient,Emotionally stable,Patient,Loses focus,Focused,Foggy mind,Easily distracted,Low mood,Low mood,Drained,Patient,Quick to anger,Emotionally stable,Loses focus,Indifferent,Needs Monitoring
Easily distracted,Few mistakes,Quick to anger,Drained,Positive outlook,Sharp memory,Always distracted,Loses focus,Invested,Drained,No energy at all,Loses focus,Focused,Drained,Few mistakes,Always distracted,Not motivated,Clear-minded,Quick to anger,In good physical condition,At Risk
In good physical condition,Quick to anger,I recharge through entertainment,Low mood,Indifferent,Foggy mind,In good physical condition,Positive outlook,Forgetful,Focused,Indifferent,Indifferent,I recharge through entertainment,Easily distracted,Not motivated,Not motivated,Foggy mind,Forgetful,Easily distracted,Focused,At Risk
Always distracted,Loses focus,Forgetful,Always distracted,Quick to anger,Forgetful,Always distracted,Easily distracted,Low mood,Easily distracted,Drained,Quick to anger,Not motivated,Indifferent,Not motivated,Not motivated,Not motivated,Not motivated,Not motivated,Not motivated,At Risk
Rarely feel tired,Positive outlook,Good stamina,Low mood,Drained,I recharge through entertainment,Easily distracted,Easily distracted,Clear-minded,Indifferent,Invested,Clear-minded,In good physical condition,Not motivated,Patient,Enthusiastic,Focused,Low mood,Clear-minded,Good stamina,Needs Monitoring
Rarely feel tired,Not motivated,Invested,I recharge through entertainment,Easily distracted,Patient,Easily distracted,Loses focus,Focused,Good focus,Refreshed,In good physical condition,Challenging but good,Loses focus,In good physical condition,Foggy mind,Drained,Mostly engaged,Quick to anger,Positive outlook,Needs Monitoring
Good focus,Positive outlook,Quick to anger,Clear-minded,In good physical condition,Not motivated,Good focus,Enthusiastic,Patient,Few mistakes,Clear-minded,Self-aware,Invested,Focused,Mostly engaged,Few mistakes,Few mistakes,In good physical condition,In good physical condition,Focused,Normal
Not motivated,Not motivated,Indifferent,Loses focus,Forgetful,Quick to anger,Positive outlook,Self-aware,Mostly engaged,Rarely feel tired,Foggy mind,In good physical condition,Forgetful,Mostly engaged,Self-aware,Emotionally stable,Indifferent,Foggy mind,Mostly engaged,Indifferent,At Risk
Foggy mind,Mostly engaged,Indifferent,Low mood,Mostly engaged,Good stamina,Few mistakes,Invested,Enthusiastic,Quick to anger,Few mistakes,Enthusiastic,Always distracted,Refreshed,Not motivated,Clear-minded,Rarely feel tired,Loses focus,Patient,Quick to anger,Needs Monitoring
Self-aware,Low mood,Clear-minded,Indifferent,No energy at all,Ready to go,Good stamina,Loses focus,Good focus,Foggy mind,Mostly engaged,Indifferent,Self-aware,Quick to anger,No energy at all,Focused,Foggy mind,Forgetful,Invested,Drained,At Risk
Easily distracted,Positive outlook,Invested,Focused,In good physical condition,Few mistakes,Invested,Low mood,Loses focus,Sharp memory,Enthusiastic,Good focus,Rarely feel tired,Low mood,Not motivated,Ready to go,Patient,Clear-minded,Invested,Sharp memory,Normal
Ready to go,Challenging but good,Always distracted,Forgetful,Low mood,Ready to go,Foggy mind,Loses focus,Always distracted,Foggy mind,Forgetful,Patient,Focused,Good focus,Not motivated,Positive outlook,Rarely feel tired,Enthusiastic,Positive outlook,Emotionally stable,Needs Monitoring
Rarely feel tired,Indifferent,Rarely feel tired,Not motivated,Forgetful,Always distracted,Indifferent,Not motivated,Foggy mind,Always distracted,Forgetful,Positive outlook,No energy at all,Always distracted,Positive outlook,No energy at all,Loses focus,Loses focus,Drained,Good focus,At Risk
Quick to anger,Loses focus,Drained,Foggy mind,Rarely feel tired,Rarely feel tired,Low mood,No energy at all,Always distracted,Not motivated,Sharp memory,Quick to anger,Always distracted,Refreshed,Always distracted,Drained,No energy at all,Indifferent,Foggy mind,Not motivated,At Risk
Drained,Drained,Refreshed,Invested,Always distracted,Sharp memory,No energy at all,Indifferent,Patient,Not motivated,Easily distracted,Easily distracted,Not motivated,Enthusiastic,Not motivated,Enthusiastic,Clear-minded,Foggy mind,Self-aware,Good stamina,At Risk
