Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Refreshed,Focused,Mostly engaged,Ready to go,Good stamina,Mostly engaged,Good focus,Low mood,Ready to go,Ready to go,Good stamina,Challenging but good,Self-aware,Forgetful,Enthusiastic,Few mistakes,Good focus,In good physical condition,Few mistakes,Patient,Normal
Patient,In good physical condition,Self-aware,Always distracted,Loses focus,Invested,Ready to go,Always distracted,Emotionally stable,Quick to anger,Invested,Ready to go,Enthusiastic,Mostly engaged,Sharp memory,Emotionally stable,In good physical condition,Positive outlook,Mostly engaged,Indifferent,Normal
Good focus,Invested,In good physical condition,Focused,Few mistakes,Enthusiastic,Always distracted,Not motivated,Always distracted,Not motivated,Ready to go,Enthusiastic,Ready to go,Challenging but good,In good physical condition,Enthusiastic,In good physical condition,Foggy mind,Challenging but good,Positive outlook,Normal
Enthusiastic,Good stamina,Sharp memory,Enthusiastic,Ready to go,Clear-minded,Focused,I recharge through entertainment,Enthusiastic,Patient,Enthusiastic,Focused,Sharp memory,Invested,Positive outlook,Ready to go,Challenging but good,Ready to go,Mostly engaged,Emotionally stable,Normal
Invested,Emotionally stable,Challenging but good,Clear-minded,Good focus,Low mood,Indifferent,Ready to go,Positive outlook,Emotionally stable,Self-aware,Mostly engaged,Positive outlook,Good focus,Not motivated,Low mood,Quick to anger,In good physical condition,Refreshed,Foggy mind,Normal
Good stamina,I recharge through entertainment,Ready to go,Indifferent,Self-aware,Challenging but good,Mostly engaged,Few mistakes,Few mistakes,Patient,Good focus,Emotionally stable,Challenging but good,Mostly engaged,Clear-minded,Patient,Few mistakes,Patient,Ready to go,Forgetful,Normal
Positive outlook,Invested,In good physical condition,Emotionally stable,Challenging but good,Challenging but good,Challenging but good,Enthusiastic,Enthusiastic,Good stamina,In good physical condition,Focused,Enthusiastic,Invested,In good physical condition,Good stamina,Patient,Good stamina,Mostly engaged,I recharge through entertainment,Normal
Ready to go,Emotionally stable,Always distracted,Good stamina,Positive outlook,Few mistakes,Refreshed,Positive outlook,Sharp memory,Challenging but good,Sharp memory,Good stamina,Easily distracted,Foggy mind,Refreshed,Indifferent,Good stamina,I recharge through entertainment,Ready to go,Refreshed,Normal
Invested,Positive outlook,Self-aware,In good physical condition,Not motivated,Challenging but good,Good stamina,Challenging but good,Enthusiastic,I recharge through entertainment,Few mistakes,No energy at all,Self-aware,Sharp memory,Focused,Patient,Challenging but good,No energy at all,Mostly engaged,Self-aware,Normal
Good focus,Ready to go,Good focus,I recharge through entertainment,Few mistakes,Good stamina,Patient,Focused,Focused,Good stamina,Emotionally stable,Sharp memory,Good focus,Not motivated,Clear-minded,In good physical condition,Sharp memory,Clear-minded,Clear-minded,Sharp memory,Normal
Refreshed,Focused,Patient,I recharge through entertainment,Good focus,Clear-minded,Good stamina,Self-aware,I recharge through entertainment,Good stamina,Emotionally stable,Mostly engaged,Self-aware,Good focus,Good focus,Positive outlook,Emotionally stable,In good physical condition,Invested,Enthusiastic,Normal
Self-aware,Refreshed,Invested,Focused,Always distracted,Self-aware,Few mistakes,Emotionally stable,Good focus,Clear-minded,Few mistakes,Not motivated,In good physical condition,Good focus,Emotionally stable,I recharge through entertainment,Emotionally stable,Clear-minded,Self-aware,Invested,Normal
Sharp memory,I recharge through entertainment,Emotionally stable,Ready to go,Emotionally stable,Positive outlook,Patient,Mostly engaged,I recharge through entertainment,Few mistakes,Focused,I recharge through entertainment,Positive outlook,Positive outlook,Focused,Refreshed,Sharp memory,Invested,Enthusiastic,Few mistakes,Normal
Good focus,Emotionally stable,Patient,Ready to go,Patient,Sharp memory,Forgetful,Mostly engaged,Positive outlook,Quick to anger,Mostly engaged,Focused,Few mistakes,Patient,Good stamina,Mostly engaged,Good focus,Self-aware,Mostly engaged,Foggy mind,Normal
Clear-minded,Emotionally stable,In good physical condition,Refreshed,Self-aware,Always distracted,Foggy mind,Forgetful,Enthusiastic,Patient,Invested,Patient,Few mistakes,Good stamina,I recharge through entertainment,Indifferent,Loses focus,Few mistakes,Clear-minded,Challenging but good,Normal
Quick to anger,Focused,Easily distracted,Ready to go,Few mistakes,Few mistakes,Loses focus,Sharp memory,Good stamina,Few mistakes,Quick to anger,Good stamina,Foggy mind,Focused,Invested,Positive outlook,Focused,Forgetful,Self-aware,Drained,Normal
Invested,Good stamina,Good focus,Quick to anger,Positive outlook,Foggy mind,Always distracted,Good stamina,Challenging but good,Self-aware,I recharge through entertainment,Few mistakes,Forgetful,I recharge through entertainment,Challenging but good,Clear-minded,Always distracted,Patient,Mostly engaged,Ready to go,Normal
Ready to go,Patient,Good stamina,Clear-minded,Good focus,Self-aware,Refreshed,In good physical condition,Challenging but good,Few mistakes,Challenging but good,Refreshed,Always distracted,Mostly engaged,Patient,In good physical condition,Self-aware,Foggy mind,I recharge through entertainment,Invested,Normal
Emotionally stable,Self-aware,Self-aware,Self-aware,In good physical condition,Easily distracted,I recharge through entertainment,Self-aware,Challenging but good,Good focus,In good physical condition,Challenging but good,Clear-minded,Refreshed,Positive outlook,Sharp memory,Invested,Clear-minded,Positive outlook,Patient,Normal
Always distracted,Emotionally stable,Always distracted,I recharge through entertainment,Few mistakes,Clear-minded,Challenging but good,Positive outlook,Invested,Self-aware,Ready to go,Self-aware,Clear-minded,Sharp memory,Positive outlook,Good focus,Challenging but good,Positive outlook,Focused,Challenging but good,Normal
Positive outlook,Drained,Positive outlook,Mostly engaged,Emotionally stable,Not motivated,Invested,In good physical condition,Enthusiastic,Emotionally stable,Enthusiastic,Clear-minded,Refreshed,Few mistakes,Ready to go,Sharp memory,Loses focus,Indifferent,Good focus,Not motivated,Normal
Enthusiastic,Refreshed,In good physical condition,Sharp memory,Clear-minded,Ready to go,Few mistakes,I recharge through entertainment,Focused,Challenging but good,Refreshed,I recharge through entertainment,Emotionally stable,Invested,Self-aware,Good focus,Invested,Sharp memory,I recharge through entertainment,In good physical condition,Normal
Clear-minded,Self-aware,Few mistakes,Mostly engaged,Patient,Enthusiastic,Focused,Self-aware,Sharp memory,Clear-minded,Ready to go,In good physical condition,Always distracted,No energy at all,I recharge through entertainment,Positive outlook,Good focus,In good physical condition,In good physical condition,Sharp memory,Normal
Patient,Ready to go,Enthusiastic,Challenging but good,Patient,Enthusiastic,Enthusiastic,Self-aware,Enthusiastic,Good stamina,Refreshed,In good physical condition,Focused,Invested,Invested,I recharge through entertainment,Good stamina,Self-aware,Mostly engaged,Emotionally stable,Normal
I recharge through entertainment,Foggy mind,Good stamina,Indifferent,Forgetful,Low mood,Self-aware,Loses focus,Patient,Sharp memory,Emotionally stable,Clear-minded,Emotionally stable,Focused,Self-aware,Self-aware,Always distracted,Drained,Clear-minded,I recharge through entertainment,Normal
Focused,Self-aware,In good physical condition,Always distracted,Sharp memory,Always distracted,Foggy mind,Foggy mind,Positive outlook,Indifferent,I recharge through entertainment,Self-aware,Patient,I recharge through entertainment,Self-aware,Low mood,Always distracted,Patient,Good stamina,Emotionally stable,Normal
Few mistakes,Drained,Clear-minded,Foggy mind,In good physical condition,Foggy mind,Patient,I recharge through entertainment,Invested,Patient,Few mistakes,Loses focus,I recharge through entertainment,Refreshed,Not motivated,Enthusiastic,Invested,Focused,Positive outlook,Mostly engaged,Normal
Sharp memory,Challenging but good,Focused,Refreshed,Good stamina,Challenging but good,Patient,Emotionally stable,Good focus,Clear-minded,Clear-minded,Enthusiastic,Good stamina,Invested,Good focus,Emotionally stable,Invested,Focused,Focused,Good stamina,Normal
I recharge through entertainment,Good focus,Low mood,Focused,Invested,Invested,Enthusiastic,Patient,I recharge through entertainment,Good stamina,Good stamina,Clear-minded,Self-aware,Good stamina,In good physical condition,In good physical condition,Good focus,Emotionally stable,Sharp memory,Positive outlook,Normal
Always distracted,Good stamina,Patient,Focused,Quick to anger,Refreshed,I recharge through entertainment,I recharge through entertainment,Sharp memory,Invested,In good physical condition,Self-aware,Loses focus,Refreshed,Emotionally stable,Mostly engaged,Always distracted,Mostly engaged,Invested,Foggy mind,Normal
Positive outlook,Good focus,Refreshed,Good stamina,Forgetful,Foggy mind,Patient,Good focus,Not motivated,Easily distracted,Indifferent,Easily distracted,Ready to go,Mostly engaged,I recharge through entertainment,Good focus,Few mistakes,Positive outlook,Loses focus,Clear-minded,Normal
Good focus,Not motivated,Good focus,Easily distracted,I recharge through entertainment,I recharge through entertainment,Emotionally stable,Not motivated,Few mistakes,No energy at all,Invested,Good stamina,Sharp memory,Ready to go,Self-aware,Low mood,Easily distracted,Indifferent,Sharp memory,I recharge through entertainment,Normal
In good physical condition,Positive outlook,In good physical condition,Self-aware,Clear-minded,Invested,Focused,Clear-minded,Quick to anger,Positive outlook,Good focus,Focused,Clear-minded,Challenging but good,Challenging but good,Good stamina,Focused,Invested,Good stamina,Self-aware,Normal
Clear-minded,Self-aware,Enthusiastic,Invested,I recharge through entertainment,Sharp memory,Good focus,Good focus,Clear-minded,In good physical condition,Mostly engaged,Refreshed,Patient,I recharge through entertainment,Patient,Refreshed,Enthusiastic,Patient,Mostly engaged,I recharge through entertainment,Normal
Positive outlook,Good stamina,Mostly engaged,Clear-minded,Indifferent,Good focus,Few mistakes,Refreshed,Focused,Emotionally stable,Patient,Emotionally stable,In good physical condition,Drained,Invested,Few mistakes,Invested,Challenging but good,Positive outlook,Patient,Normal
Forgetful,Self-aware,Emotionally stable,Good focus,Ready to go,Invested,Loses focus,Drained,Sharp memory,Few mistakes,Good stamina,Good focus,Mostly engaged,Few mistakes,Clear-minded,Low mood,Self-aware,Forgetful,Invested,Positive outlook,Normal
Forgetful,Ready to go,Challenging but good,Ready to go,Positive outlook,Ready to go,Good stamina,Self-aware,Good focus,Indifferent,In good physical condition,Invested,Ready to go,Ready to go,Self-aware,I recharge through entertainment,Few mistakes,Good stamina,Positive outlook,Clear-minded,Normal
Focused,Good focus,Forgetful,I recharge through entertainment,Forgetful,Drained,Good stamina,Focused,In good physical condition,Focused,Easily distracted,Good stamina,Clear-minded,Mostly engaged,Drained,Mostly engaged,Invested,I recharge through entertainment,Forgetful,Loses focus,Normal
Patient,In good physical condition,I recharge through entertainment,Sharp memory,Self-aware,Quick to anger,Few mistakes,Few mistakes,I recharge through entertainment,Invested,Few mistakes,Emotionally stable,Patient,Good focus,Sharp memory,I recharge through entertainment,Challenging but good,Mostly engaged,Patient,Good focus,Normal
Forgetful,Challenging but good,In good physical condition,Clear-minded,Patient,Enthusiastic,Clear-minded,Patient,I recharge through entertainment,Positive outlook,Few mistakes,Positive outlook,Easily distracted,Clear-minded,Refreshed,Sharp memory,Few mistakes,Sharp memory,Sharp memory,Patient,Normal
Few mistakes,Good stamina,I recharge through entertainment,Few mistakes,Good stamina,Focused,Ready to go,Forgetful,No energy at all,Enthusiastic,Challenging but good,I recharge through entertainment,Clear-minded,I recharge through entertainment,I recharge through entertainment,In good physical condition,Patient,Good stamina,Challenging but good,Clear-minded,Normal
Forgetful,Positive outlook,Forgetful,Mostly engaged,Challenging but good,Patient,No energy at all,Positive outlook,Loses focus,Patient,Patient,Challenging but good,Ready to go,Self-aware,Foggy mind,Always distracted,Few mistakes,No energy at all,Good focus,Focused,Normal
Invested,Challenging but good,Self-aware,Emotionally stable,Good stamina,Few mistakes,Few mistakes,Refreshed,Challenging but good,Enthusiastic,Invested,Focused,Good focus,Good stamina,Good stamina,Positive outlook,Sharp memory,Focused,Invested,Focused,Normal
Always distracted,Good stamina,Positive outlook,Challenging but good,Self-aware,Few mistakes,Self-aware,Ready to go,Clear-minded,Positive outlook,Self-aware,Few mistakes,Patient,Low mood,Positive outlook,Patient,Self-aware,Few mistakes,Good stamina,Patient,Normal
Enthusiastic,Challenging but good,Positive outlook,Sharp memory,Clear-minded,Emotionally stable,In good physical condition,Few mistakes,Good stamina,Good stamina,Indifferent,Positive outlook,Focused,Mostly engaged,Foggy mind,Focused,Self-aware,Invested,Not motivated,Clear-minded,Normal
Low mood,Mostly engaged,Drained,Invested,Forgetful,Few mistakes,Clear-minded,Mostly engaged,Enthusiastic,Mostly engaged,Easily distracted,Refreshed,Self-aware,Patient,Few mistakes,In good physical condition,Emotionally stable,Patient,Positive outlook,Good focus,Normal
Focused,Focused,Indifferent,Self-aware,Loses focus,Mostly engaged,Focused,Good stamina,Few mistakes,In good physical condition,Focused,Sharp memory,Self-aware,Positive outlook,Emotionally stable,Not motivated,Foggy mind,Patient,Emotionally stable,Focused,Normal
Self-aware,Drained,Foggy mind,Emotionally stable,Self-aware,Refreshed,Positive outlook,Good stamina,Mostly engaged,Ready to go,Self-aware,Ready to go,Enthusiastic,Low mood,Positive outlook,Enthusiastic,Forgetful,Forgetful,Positive outlook,Forgetful,Normal
Invested,Not motivated,Positive outlook,Challenging but good,Refreshed,In good physical condition,Enthusiastic,Emotionally stable,In good physical condition,Good focus,Refreshed,Loses focus,Sharp memory,Sharp memory,Not motivated,Focused,Loses focus,Invested,Refreshed,Ready to go,Normal
I recharge through entertainment,Not motivated,Patient,Self-aware,Focused,Self-aware,Invested,Good focus,Self-aware,Enthusiastic,Good stamina,Few mistakes,Positive outlook,Invested,In good physical condition,Good focus,Positive outlook,Foggy mind,Easily distracted,Emotionally stable,Normal
Good stamina,Low mood,Good stamina,Few mistakes,Refreshed,Self-aware,Drained,Focused,Low mood,Invested,Clear-minded,Enthusiastic,Invested,Challenging but good,Challenging but good,I recharge through entertainment,Quick to anger,Low mood,Mostly engaged,Not motivated,Normal
Refreshed,Refreshed,Clear-minded,Clear-minded,No energy at all,Few mistakes,Mostly engaged,Ready to go,Loses focus,Refreshed,Mostly engaged,Refreshed,Challenging but good,Enthusiastic,No energy at all,Drained,Invested,Ready to go,Loses focus,Good focus,Normal
Clear-minded,Forgetful,Emotionally stable,Quick to anger,Invested,Invested,Positive outlook,Challenging but good,Good stamina,I recharge through entertainment,Patient,Patient,Focused,Invested,Few mistakes,Challenging but good,Enthusiastic,Clear-minded,Foggy mind,Indifferent,Normal
Refreshed,Loses focus,I recharge through entertainment,Self-aware,Invested,Ready to go,Invested,Not motivated,In good physical condition,Challenging but good,Focused,Emotionally stable,Few mistakes,Few mistakes,Forgetful,Self-aware,Emotionally stable,Indifferent,Invested,Good stamina,Normal
Clear-minded,Sharp memory,Easily distracted,Mostly engaged,Always distracted,Good stamina,I recharge through entertainment,Focused,Mostly engaged,Self-aware,Forgetful,Good stamina,Ready to go,Clear-minded,Enthusiastic,Invested,Focused,Forgetful,In good physical condition,Sharp memory,Normal
Emotionally stable,Good stamina,Few mistakes,Foggy mind,Few mistakes,Quick to anger,Patient,I recharge through entertainment,I recharge through entertainment,Refreshed,Focused,Loses focus,Positive outlook,Good focus,Refreshed,Emotionally stable,Positive outlook,Enthusiastic,Refreshed,Emotionally stable,Normal
Low mood,Quick to anger,I recharge through entertainment,Focused,Positive outlook,Not motivated,Clear-minded,Mostly engaged,Refreshed,Positive outlook,Indifferent,Patient,Good focus,Focused,Self-aware,I recharge through entertainment,Ready to go,Good focus,Few mistakes,Positive outlook,Normal
Self-aware,Invested,I recharge through entertainment,Few mistakes,I recharge through entertainment,Patient,Enthusiastic,Clear-minded,Emotionally stable,Mostly engaged,Enthusiastic,Ready to go,Good stamina,No energy at all,Patient,Focused,Sharp memory,Good stamina,No energy at all,Patient,Normal
Good focus,Good stamina,Quick to anger,Forgetful,Patient,Easily distracted,Enthusiastic,Always distracted,Sharp memory,Refreshed,Always distracted,Easily distracted,Refreshed,Positive outlook,Sharp memory,Loses focus,Few mistakes,Good focus,Positive outlook,Good stamina,Normal
Ready to go,Ready to go,Invested,Self-aware,Good focus,Patient,Self-aware,Good stamina,No energy at all,Clear-minded,No energy at all,Indifferent,Clear-minded,Invested,Self-aware,Clear-minded,Good stamina,Enthusiastic,Not motivated,Self-aware,Normal
Good stamina,Always distracted,Self-aware,Quick to anger,Loses focus,Refreshed,Ready to go,Good focus,Mostly engaged,I recharge through entertainment,In good physical condition,Forgetful,Loses focus,Enthusiastic,Foggy mind,Self-aware,Good stamina,I recharge through entertainment,Foggy mind,Emotionally stable,Normal
Sharp memory,Positive outlook,Emotionally stable,Low mood,Challenging but good,Enthusiastic,Foggy mind,Invested,Enthusiastic,Refreshed,Always distracted,Loses focus,Easily distracted,Positive outlook,Positive outlook,Forgetful,Emotionally stable,Good focus,Challenging but good,I recharge through entertainment,Normal
Focused,I recharge through entertainment,Self-aware,Forgetful,Self-aware,In good physical condition,Mostly engaged,Indifferent,Positive outlook,In good physical condition,Enthusiastic,Mostly engaged,Patient,Good stamina,Ready to go,Sharp memory,Ready to go,Positive outlook,Good stamina,Clear-minded,Normal
Quick to anger,Few mistakes,In good physical condition,Quick to anger,Mostly engaged,In good physical condition,Low mood,Enthusiastic,In good physical condition,Not motivated,No energy at all,Invested,Emotionally stable,Enthusiastic,Always distracted,Emotionally stable,Patient,Clear-minded,Mostly engaged,Clear-minded,Normal
In good physical condition,Positive outlook,Self-aware,In good physical condition,Patient,Low mood,Ready to go,Emotionally stable,In good physical condition,Forgetful,Good focus,Emotionally stable,Always distracted,Invested,Clear-minded,Focused,Good stamina,Emotionally stable,Good focus,Easily distracted,Normal
Challenging but good,Challenging but good,Clear-minded,Challenging but good,Not motivated,Ready to go,Patient,Drained,Not motivated,Good stamina,Drained,Foggy mind,Emotionally stable,Ready to go,Good stamina,Positive outlook,Patient,Good stamina,Challenging but good,Drained,Normal
Always distracted,Indifferent,Mostly engaged,In good physical condition,Sharp memory,Sharp memory,Mostly engaged,Quick to anger,No energy at all,In good physical condition,Invested,I recharge through entertainment,Patient,Challenging but good,Invested,Ready to go,Indifferent,Focused,Indifferent,Self-aware,Normal
Clear-minded,Focused,Patient,Invested,Emotionally stable,Good stamina,Positive outlook,Emotionally stable,Invested,Patient,No energy at all,Good stamina,Sharp memory,Refreshed,Focused,Patient,Self-aware,Good focus,Emotionally stable,Clear-minded,Normal
Not motivated,Easily distracted,Positive outlook,Self-aware,Indifferent,Drained,Easily distracted,I recharge through entertainment,Invested,Good focus,Focused,I recharge through entertainment,Drained,Clear-minded,Clear-minded,Mostly engaged,Clear-minded,Drained,Refreshed,Invested,Normal
Ready to go,No energy at all,Self-aware,In good physical condition,Self-aware,Emotionally stable,Indifferent,Patient,In good physical condition,Positive outlook,In good physical condition,Mostly engaged,In good physical condition,Loses focus,Enthusiastic,Few mistakes,Invested,Sharp memory,Patient,Focused,Normal
Mostly engaged,Focused,Ready to go,Challenging but good,Refreshed,Positive outlook,Good focus,Focused,In good physical condition,Challenging but good,Mostly engaged,I recharge through entertainment,Invested,Mostly engaged,Patient,Mostly engaged,Few mistakes,Invested,Positive outlook,Clear-minded,Normal
I recharge through entertainment,Loses focus,Refreshed,Mostly engaged,Not motivated,Foggy mind,Good stamina,Good stamina,Sharp memory,Challenging but good,Focused,Emotionally stable,Refreshed,Clear-minded,Focused,Clear-minded,Emotionally stable,Mostly engaged,Foggy mind,Good focus,Normal
Enthusiastic,Always distracted,Patient,I recharge through entertainment,Self-aware,Positive outlook,Forgetful,Quick to anger,Emotionally stable,Enthusiastic,Positive outlook,Good focus,Challenging but good,In good physical condition,Always distracted,Good stamina,Quick to anger,Refreshed,Ready to go,Invested,Normal
Foggy mind,Ready to go,Sharp memory,Challenging but good,Clear-minded,Self-aware,Patient,Focused,Clear-minded,Clear-minded,Focused,Mostly engaged,Few mistakes,Good stamina,Clear-minded,Refreshed,Self-aware,Not motivated,Sharp memory,I recharge through entertainment,Normal
Few mistakes,Invested,Good focus,I recharge through entertainment,Forgetful,Good stamina,Refreshed,Challenging but good,Few mistakes,In good physical condition,Enthusiastic,Ready to go,Invested,I recharge through entertainment,I recharge through entertainment,Refreshed,Ready to go,In good physical condition,In good physical condition,Challenging but good,Normal
Clear-minded,Easily distracted,Mostly engaged,Emotionally stable,Self-aware,Positive outlook,Clear-minded,No energy at all,Clear-minded,Mostly engaged,Low mood,In good physical condition,Always distracted,Not motivated,Enthusiastic,I recharge through entertainment,Drained,Clear-minded,Easily distracted,Few mistakes,Normal
Mostly engaged,Challenging but good,Good stamina,Challenging but good,Positive outlook,Positive outlook,In good physical condition,Good stamina,Mostly engaged,Indifferent,I recharge through entertainment,Invested,Challenging but good,Good stamina,Challenging but good,Sharp memory,Emotionally stable,Good focus,Patient,I recharge through entertainment,Normal
Ready to go,Patient,Challenging but good,Patient,Sharp memory,Sharp memory,Positive outlook,Good focus,Emotionally stable,Clear-minded,Invested,Self-aware,I recharge through entertainment,Self-aware,Focused,Self-aware,Positive outlook,Clear-minded,Mostly engaged,Sharp memory,Normal
Sharp memory,Sharp memory,Challenging but good,Not motivated,Good stamina,I recharge through entertainment,Challenging but good,Forgetful,Few mistakes,Self-aware,Focused,Patient,Patient,Challenging but good,Sharp memory,Mostly engaged,Good stamina,Ready to go,Focused,Mostly engaged,Normal
Self-aware,Few mistakes,Focused,Challenging but good,Challenging but good,Sharp memory,Few mistakes,Challenging but good,Mostly engaged,Mostly engaged,Foggy mind,Good focus,Loses focus,Ready to go,In good physical condition,Positive outlook,Invested,Focused,In good physical condition,Good focus,Normal
Drained,Positive outlook,Sharp memory,Always distracted,Foggy mind,Enthusiastic,Good stamina,Positive outlook,Enthusiastic,Mostly engaged,Low mood,Good focus,Indifferent,Self-aware,Ready to go,Challenging but good,Patient,Good stamina,Positive outlook,Emotionally stable,Normal
Good stamina,Self-aware,Few mistakes,Low mood,Challenging but good,Quick to anger,Good stamina,Forgetful,Ready to go,Good focus,Forgetful,Good stamina,Few mistakes,Focused,Emotionally stable,Refreshed,Good stamina,Indifferent,Clear-minded,Quick to anger,Normal
Sharp memory,Positive outlook,Enthusiastic,Clear-minded,Good focus,Good stamina,Refreshed,Few mistakes,Mostly engaged,No energy at all,Not motivated,No energy at all,Enthusiastic,Easily distracted,Mostly engaged,Mostly engaged,Challenging but good,Always distracted,Focused,Patient,Normal
Challenging but good,Focused,Positive outlook,Refreshed,Good stamina,Challenging but good,Refreshed,Mostly engaged,Good stamina,Challenging but good,Self-aware,Patient,Focused,Patient,Challenging but good,Focused,Patient,Good focus,Few mistakes,Self-aware,Normal
Self-aware,Self-aware,I recharge through entertainment,Self-aware,Invested,Mostly engaged,Good stamina,Not motivated,Patient,Quick to anger,Refreshed,Good focus,Easily distracted,Not motivated,Self-aware,No energy at all,Always distracted,Good stamina,Good stamina,Clear-minded,Normal
