Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Drained,Emotionally stable,Sharp memory,Challenging but good,Good focus,Foggy mind,Refreshed,Good focus,In good physical condition,Emotionally stable,Invested,Positive outlook,Not motivated,Good stamina,Enthusiastic,Positive outlook,Positive outlook,Refreshed,Positive outlook,Enthusiastic,Normal
Invested,Self-aware,No energy at all,Good focus,Focused,Positive outlook,Ready to go,Mostly engaged,Ready to go,Loses focus,Positive outlook,Forgetful,Low mood,Sharp memory,Low mood,Good stamina,Emotionally stable,Low mood,Patient,Clear-minded,Normal
Emotionally stable,Ready to go,Focused,Enthusiastic,Low mood,Positive outlook,Not motivated,Positive outlook,Enthusiastic,Always distracted,Refreshed,Good focus,Good stamina,Clear-minded,I recharge through entertainment,I recharge through entertainment,In good physical condition,No energy at all,Focused,Drained,Normal
Clear-minded,Enthusiastic,Good focus,In good physical condition,Good stamina,Rarely feel tired,Mostly engaged,In good physical condition,Ready to go,Not motivated,Positive outlook,Low mood,Challenging but good,Forgetful,Not motivated,Invested,Focused,Emotionally stable,Clear-minded,In good physical condition,Normal
Patient,Invested,Clear-minded,Good stamina,Mostly engaged,Emotionally stable,Good focus,Emotionally stable,Mostly engaged,Rarely feel tired,Enthusiastic,Good focus,Ready to go,Good focus,Refreshed,Patient,Good focus,Positive outlook,Sharp memory,Emotionally stable,Normal
I recharge through entertainment,Refreshed,Emotionally stable,Self-aware,In good physical condition,Enthusiastic,Good stamina,Drained,In good physical condition,Ready to go,Focused,Refreshed,Refreshed,Patient,Patient,Positive outlook,Clear-minded,Invested,Clear-minded,In good physical condition,Normal
Clear-minded,Mostly engaged,Good stamina,Sharp memory,Quick to anger,Foggy mind,Always distracted,Always distracted,Indifferent,Clear-minded,Easily distracted,Emotionally stable,Low mood,Positive outlook,Invested,I recharge through entertainment,Enthusiastic,Positive outlook,Sharp memory,Good stamina,Normal
Self-aware,Emotionally stable,In good physical condition,Enthusiastic,Always distracted,No energy at all,Positive outlook,Self-aware,Enthusiastic,Clear-minded,Low mood,Emotionally stable,Invested,Indifferent,Self-aware,Refreshed,Sharp memory,Patient,Refreshed,Enthusiastic,Normal
Emotionally stable,I recharge through entertainment,Refreshed,Self-aware,Invested,Emotionally stable,Refreshed,Challenging but good,Quick to anger,Positive outlook,Clear-minded,Refreshed,Positive outlook,Clear-minded,Mostly engaged,Invested,Refreshed,Refreshed,In good physical condition,I recharge through entertainment,Normal
Focused,Self-aware,Mostly engaged,Sharp memory,I recharge through entertainment,In good physical condition,I recharge through entertainment,I recharge through entertainment,Mostly engaged,I recharge through entertainment,Mostly engaged,Sharp memory,Positive outlook,Sharp memory,Sharp memory,Sharp memory,Emotionally stable,Few mistakes,Patient,Challenging but good,Normal
Mostly engaged,Sharp memory,Quick to anger,Good focus,I recharge through entertainment,Positive outlook,I recharge through entertainment,Emotionally stable,Patient,Sharp memory,Positive outlook,No energy at all,Enthusiastic,Loses focus,Forgetful,Rarely feel tired,Clear-minded,Good focus,Foggy mind,Emotionally stable,Normal
I recharge through entertainment,Ready to go,Ready to go,Mostly engaged,Patient,Loses focus,Sharp memory,Mostly engaged,Patient,Ready to go,Self-aware,Ready to go,Ready to go,Good stamina,Few mistakes,Focused,I recharge through entertainment,Clear-minded,Good stamina,Clear-minded,Normal
Challenging but good,Invested,Good stamina,Clear-minded,I recharge through entertainment,Patient,No energy at all,Patient,Sharp memory,Invested,Enthusiastic,Self-aware,Positive outlook,Focused,Clear-minded,Sharp memory,Sharp memory,Clear-minded,Patient,Good stamina,Normal
Sharp memory,Drained,In good physical condition,Few mistakes,In good physical condition,Ready to go,Enthusiastic,Emotionally stable,Good focus,I recharge through entertainment,Not motivated,Not motivated,Refreshed,Not motivated,Good stamina,In good physical condition,Good stamina,Always distracted,Ready to go,Good focus,Normal
Quick to anger,Indifferent,In good physical condition,Patient,Challenging but good,Quick to anger,Refreshed,Ready to go,Forgetful,Invested,Good stamina,Refreshed,Drained,Indifferent,Patient,Self-aware,In good physical condition,Sharp memory,Good focus,Clear-minded,Normal
In good physical condition,Positive outlook,Focused,Challenging but good,Emotionally stable,Sharp memory,Emotionally stable,Mostly engaged,Good focus,Foggy mind,Ready to go,Few mistakes,I recharge through entertainment,Clear-minded,Patient,Low mood,Patient,Focused,Sharp memory,Sharp memory,Normal
Good focus,Clear-minded,Forgetful,Few mistakes,Refreshed,In good physical condition,In good physical condition,Challenging but good,Challenging but good,Sharp memory,Positive outlook,In good physical condition,Foggy mind,Challenging but good,Refreshed,Few mistakes,I recharge through entertainment,Positive outlook,Good focus,Emotionally stable,Normal
Invested,Challenging but good,Clear-minded,Ready to go,Foggy mind,Invested,I recharge through entertainment,Good stamina,Self-aware,Drained,Challenging but good,In good physical condition,Few mistakes,Clear-minded,Rarely feel tired,Enthusiastic,Enthusiastic,Always distracted,Ready to go,I recharge through entertainment,Normal
Drained,Always distracted,Patient,Loses focus,In good physical condition,Enthusiastic,I recharge through entertainment,Good focus,Patient,Focused,Rarely feel tired,Not motivated,Challenging but good,Clear-minded,Few mistakes,Invested,I recharge through entertainment,Positive outlook,Not motivated,Quick to anger,Normal
Foggy mind,Loses focus,Emotionally stable,Focused,I recharge through entertainment,Positive outlook,Always distracted,Invested,Self-aware,Patient,In good physical condition,I recharge through entertainment,Few mistakes,Sharp memory,Self-aware,Loses focus,Drained,Positive outlook,Ready to go,Challenging but good,Normal
Forgetful,Mostly engaged,Good stamina,Focused,Few mistakes,Ready to go,I recharge through entertainment,Good focus,No energy at all,Sharp memory,Invested,In good physical condition,Positive outlook,Focused,Positive outlook,Ready to go,Positive outlook,Ready to go,Few mistakes,I recharge through entertainment,Normal
In good physical condition,Ready to go,In good physical condition,Refreshed,In good physical condition,Patient,Focused,Refreshed,I recharge through entertainment,In good physical condition,Good stamina,Patient,Focused,Good stamina,Positive outlook,Enthusiastic,Drained,Ready to go,Ready to go,Refreshed,Normal
Refreshed,Always distracted,Ready to go,Good stamina,Rarely feel tired,Loses focus,Always distracted,Self-aware,Few mistakes,Mostly engaged,Focused,In good physical condition,Refreshed,Few mistakes,Good stamina,Clear-minded,Good stamina,Clear-minded,Self-aware,Clear-minded,Normal
Ready to go,Loses focus,In good physical condition,Positive outlook,Foggy mind,Indifferent,Good focus,Emotionally stable,Clear-minded,Emotionally stable,Foggy mind,Enthusiastic,In good physical condition,Few mistakes,Ready to go,Refreshed,Good stamina,Foggy mind,Challenging but good,Ready to go,Normal
Enthusiastic,Positive outlook,Sharp memory,Challenging but good,Emotionally stable,Self-aware,Easily distracted,Invested,Refreshed,I recharge through entertainment,Invested,Clear-minded,Good focus,Emotionally stable,Good stamina,Emotionally stable,I recharge through entertainment,Clear-minded,Good stamina,In good physical condition,Normal
Self-aware,Focused,Few mistakes,Emotionally stable,Mostly engaged,Challenging but good,Good focus,I recharge through entertainment,Low mood,Easily distracted,Focused,Mostly engaged,Patient,Invested,Invested,Emotionally stable,Indifferent,Sharp memory,Easily distracted,Always distracted,Normal
In good physical condition,Mostly engaged,Clear-minded,Emotionally stable,Self-aware,Focused,Patient,Ready to go,Good focus,Positive outlook,Invested,Good focus,Emotionally stable,Clear-minded,Patient,Enthusiastic,Good stamina,Self-aware,Self-aware,Drained,Normal
I recharge through entertainment,Clear-minded,I recharge through entertainment,Focused,Focused,Positive outlook,Good stamina,I recharge through entertainment,Clear-minded,Refreshed,Focused,Positive outlook,Good focus,I recharge through entertainment,Ready to go,Patient,I recharge through entertainment,Ready to go,Few mistakes,Good focus,Normal
Good focus,Sharp memory,Quick to anger,Clear-minded,Challenging but good,Refreshed,Patient,Ready to go,In good physical condition,Positive outlook,Self-aware,Not motivated,Few mistakes,Invested,Good focus,In good physical condition,Few mistakes,Emotionally stable,I recharge through entertainment,Sharp memory,Normal
Refreshed,Mostly engaged,Mostly engaged,Enthusiastic,Ready to go,Few mistakes,Always distracted,Focused,Sharp memory,Indifferent,Mostly engaged,Forgetful,Always distracted,Not motivated,Invested,Quick to anger,Loses focus,Clear-minded,Enthusiastic,Challenging but good,Normal
Quick to anger,Quick to anger,Ready to go,Patient,Self-aware,Focused,Good stamina,Enthusiastic,Always distracted,Loses focus,Invested,Forgetful,Self-aware,Sharp memory,Loses focus,Mostly engaged,Enthusiastic,In good physical condition,Positive outlook,Challenging but good,Normal
I recharge through entertainment,Patient,In good physical condition,In good physical condition,Self-aware,Emotionally stable,Sharp memory,Easily distracted,Sharp memory,I recharge through entertainment,Challenging but good,Positive outlook,In good physical condition,Foggy mind,Challenging but good,Patient,In good physical condition,Loses focus,Good stamina,Good stamina,Normal
Few mistakes,Invested,Clear-minded,Few mistakes,Positive outlook,Refreshed,I recharge through entertainment,Clear-minded,Challenging but good,Sharp memory,Always distracted,Emotionally stable,Emotionally stable,Drained,Good stamina,Clear-minded,Few mistakes,Good focus,Good stamina,Mostly engaged,Normal
Positive outlook,Emotionally stable,Forgetful,Mostly engaged,Emotionally stable,In good physical condition,Ready to go,Enthusiastic,In good physical condition,Clear-minded,Challenging but good,Enthusiastic,Forgetful,Self-aware,Sharp memory,Positive outlook,Challenging but good,No energy at all,Challenging but good,Positive outlook,Normal
Few mistakes,Enthusiastic,Enthusiastic,In good physical condition,I recharge through entertainment,In good physical condition,Drained,Mostly engaged,Clear-minded,In good physical condition,In good physical condition,Challenging but good,Few mistakes,Patient,Challenging but good,Enthusiastic,Patient,Easily distracted,Low mood,Always distracted,Normal
Positive outlook,Sharp memory,Clear-minded,Patient,Few mistakes,Low mood,Challenging but good,Self-aware,Good focus,Sharp memory,Loses focus,Good focus,No energy at all,Refreshed,Self-aware,Clear-minded,Positive outlook,Foggy mind,Drained,Self-aware,Normal
Self-aware,I recharge through entertainment,Mostly engaged,Self-aware,Focused,Sharp memory,Mostly engaged,Emotionally stable,Self-aware,Rarely feel tired,Refreshed,Foggy mind,Invested,Rarely feel tired,Sharp memory,Always distracted,In good physical condition,Foggy mind,Indifferent,In good physical condition,Normal
Positive outlook,Patient,Sharp memory,Quick to anger,Invested,Enthusiastic,Good stamina,Mostly engaged,I recharge through entertainment,Enthusiastic,In good physical condition,Good focus,Few mistakes,I recharge through entertainment,Emotionally stable,Good stamina,Sharp memory,Self-aware,Good focus,Enthusiastic,Normal
Good focus,In good physical condition,Sharp memory,Loses focus,Positive outlook,Mostly engaged,Few mistakes,Positive outlook,Invested,Good focus,Sharp memory,Few mistakes,Drained,Forgetful,Emotionally stable,Drained,Ready to go,In good physical condition,Easily distracted,Focused,Normal
Few mistakes,Sharp memory,Quick to anger,Positive outlook,Quick to anger,Always distracted,Self-aware,Challenging but good,Positive outlook,Rarely feel tired,Focused,Good focus,In good physical condition,Good stamina,Sharp memory,In good physical condition,Indifferent,Invested,Ready to go,Emotionally stable,Normal
Emotionally stable,Few mistakes,Clear-minded,Patient,Ready to go,I recharge through entertainment,Foggy mind,Few mistakes,Positive outlook,Ready to go,I recharge through entertainment,Clear-minded,Good stamina,Clear-minded,Self-aware,Focused,Mostly engaged,Invested,Sharp memory,Good stamina,Normal
Drained,Challenging but good,Sharp memory,Focused,Not motivated,Patient,Invested,Easily distracted,Enthusiastic,Forgetful,Mostly engaged,Low mood,Enthusiastic,Few mistakes,Positive outlook,Emotionally stable,Low mood,Patient,Not motivated,In good physical condition,Normal
Few mistakes,Challenging but good,No energy at all,Good focus,No energy at all,Few mistakes,Invested,Invested,Good focus,I recharge through entertainment,Mostly engaged,Refreshed,Refreshed,Good stamina,Loses focus,Ready to go,Enthusiastic,Few mistakes,Sharp memory,I recharge through entertainment,Normal
Emotionally stable,Easily distracted,Forgetful,Focused,Ready to go,Positive outlook,Good stamina,Foggy mind,Good focus,Patient,Patient,Patient,Patient,Sharp memory,Always distracted,Positive outlook,Focused,Good stamina,Good stamina,Refreshed,Normal
Patient,Easily distracted,In good physical condition,In good physical condition,Good stamina,Challenging but good,Low mood,Patient,Foggy mind,Foggy mind,No energy at all,I recharge through entertainment,Refreshed,Foggy mind,Self-aware,Patient,Self-aware,Ready to go,Loses focus,Invested,Normal
Loses focus,Good focus,No energy at all,Drained,Emotionally stable,Self-aware,Focused,Focused,Sharp memory,In good physical condition,Challenging but good,Ready to go,Enthusiastic,Always distracted,Indifferent,Enthusiastic,Challenging but good,Not motivated,Always distracted,Positive outlook,Normal
Good focus,Ready to go,Mostly engaged,Clear-minded,Emotionally stable,Clear-minded,Invested,Few mistakes,I recharge through entertainment,Refreshed,Emotionally stable,Not motivated,Good focus,Challenging but good,Good stamina,Good focus,Good stamina,Good focus,Clear-minded,Refreshed,Normal
Positive outlook,Few mistakes,Sharp memory,Mostly engaged,Refreshed,Patient,Few mistakes,Drained,Invested,Good focus,Rarely feel tired,Indifferent,Drained,Focused,Self-aware,Mostly engaged,Enthusiastic,Sharp memory,Refreshed,Always distracted,Normal
Refreshed,Self-aware,Enthusiastic,Good focus,Self-aware,Invested,In good physical condition,Invested,Positive outlook,Positive outlook,Always distracted,Ready to go,Refreshed,Refreshed,Rarely feel tired,Forgetful,Positive outlook,Clear-minded,Sharp memory,Self-aware,Normal
I recharge through entertainment,Mostly engaged,Good stamina,Self-aware,In good physical condition,Enthusiastic,Not motivated,Patient,Easily distracted,Loses focus,I recharge through entertainment,Focused,Rarely feel tired,I recharge through entertainment,Good focus,Good stamina,Good stamina,Forgetful,Not motivated,Always distracted,Normal
In good physical condition,Good stamina,Good focus,Refreshed,Emotionally stable,Mostly engaged,Ready to go,Clear-minded,Clear-minded,Refreshed,Mostly engaged,Ready to go,Good stamina,Sharp memory,Patient,Good focus,Self-aware,Emotionally stable,Invested,Self-aware,Normal
Invested,Not motivated,Few mistakes,Emotionally stable,Patient,Patient,Clear-minded,Good focus,Quick to anger,Sharp memory,Refreshed,Mostly engaged,Positive outlook,Good focus,Ready to go,Indifferent,No energy at all,Clear-minded,Patient,Focused,Normal
Patient,Self-aware,Mostly engaged,Self-aware,Self-aware,Invested,Self-aware,Good stamina,Enthusiastic,Invested,Invested,Sharp memory,Invested,Good stamina,Focused,Challenging but good,Refreshed,Positive outlook,Good focus,Challenging but good,Normal
Patient,Positive outlook,Patient,Sharp memory,Challenging but good,Ready to go,Not motivated,Easily distracted,Enthusiastic,Sharp memory,Emotionally stable,Positive outlook,Clear-minded,Indifferent,Positive outlook,Loses focus,Focused,Forgetful,Invested,Easily distracted,Normal
Positive outlook,Emotionally stable,Mostly engaged,Self-aware,Easily distracted,Sharp memory,Enthusiastic,Refreshed,Emotionally stable,Refreshed,Enthusiastic,Loses focus,Clear-minded,Emotionally stable,Positive outlook,Rarely feel tired,Few mistakes,Not motivated,Clear-minded,Good stamina,Normal
In good physical condition,Self-aware,Indifferent,Good stamina,Mostly engaged,Invested,Good stamina,Drained,Sharp memory,Challenging but good,Good stamina,Good focus,Good focus,Focused,Indifferent,Loses focus,Good focus,Not motivated,Positive outlook,No energy at all,Normal
Focused,Invested,Good stamina,Patient,Enthusiastic,Easily distracted,Positive outlook,Emotionally stable,Patient,Positive outlook,In good physical condition,Mostly engaged,Good focus,Few mistakes,In good physical condition,Enthusiastic,Sharp memory,Sharp memory,Positive outlook,Good focus,Normal
Invested,Clear-minded,Patient,Invested,Invested,Good stamina,Not motivated,Mostly engaged,I recharge through entertainment,Good stamina,No energy at all,Challenging but good,Focused,Emotionally stable,Invested,Foggy mind,Sharp memory,Focused,Enthusiastic,I recharge through entertainment,Normal
In good physical condition,Enthusiastic,Sharp memory,Challenging but good,Invested,Foggy mind,Ready to go,Sharp memory,Challenging but good,Foggy mind,Patient,I recharge through entertainment,Ready to go,Few mistakes,Invested,Ready to go,No energy at all,Emotionally stable,Always distracted,Drained,Normal
In good physical condition,Positive outlook,Mostly engaged,Sharp memory,I recharge through entertainment,Ready to go,Mostly engaged,Challenging but good,Not motivated,Drained,Good focus,Easily distracted,Rarely feel tired,Patient,I recharge through entertainment,Patient,I recharge through entertainment,Good focus,Good stamina,Invested,Normal
Refreshed,Few mistakes,Good stamina,Good stamina,In good physical condition,Drained,Clear-minded,Enthusiastic,Emotionally stable,Good stamina,Loses focus,Enthusiastic,Enthusiastic,Invested,Self-aware,In good physical condition,Challenging but good,Self-aware,Focused,Mostly engaged,Normal
Challenging but good,Ready to go,Patient,Mostly engaged,Good stamina,Invested,Good focus,Invested,Mostly engaged,Ready to go,Challenging but good,Patient,Clear-minded,Invested,Good focus,Refreshed,Clear-minded,Sharp memory,In good physical condition,Mostly engaged,Normal
In good physical condition,Clear-minded,Enthusiastic,Good focus,Sharp memory,Enthusiastic,Refreshed,Challenging but good,Invested,Emotionally stable,Invested,Patient,Ready to go,Challenging but good,Clear-minded,Enthusiastic,Ready to go,Clear-minded,Easily distracted,Few mistakes,Normal
Clear-minded,Patient,Enthusiastic,Sharp memory,Ready to go,Invested,Patient,Ready to go,Refreshed,Quick to anger,Enthusiastic,Enthusiastic,Rarely feel tired,Challenging but good,In good physical condition,In good physical condition,Refreshed,Sharp memory,Enthusiastic,Not motivated,Normal
Mostly engaged,Clear-minded,Refreshed,Positive outlook,In good physical condition,Foggy mind,Refreshed,Good focus,Enthusiastic,Focused,Clear-minded,Self-aware,Enthusiastic,Emotionally stable,Good focus,Enthusiastic,Ready to go,Challenging but good,Ready to go,I recharge through entertainment,Normal
Forgetful,No energy at all,In good physical condition,Emotionally stable,Focused,Enthusiastic,In good physical condition,Forgetful,Patient,Emotionally stable,Positive outlook,Clear-minded,No energy at all,Focused,Clear-minded,Forgetful,Easily distracted,I recharge through entertainment,Forgetful,Few mistakes,Normal
Foggy mind,Good focus,Ready to go,Good focus,Self-aware,Mostly engaged,Few mistakes,Invested,Self-aware,In good physical condition,No energy at all,I recharge through entertainment,Mostly engaged,Emotionally stable,I recharge through entertainment,Enthusiastic,Focused,I recharge through entertainment,Enthusiastic,Ready to go,Normal
I recharge through entertainment,Few mistakes,Focused,Mostly engaged,Enthusiastic,Ready to go,Drained,No energy at all,Challenging but good,Sharp memory,Mostly engaged,Clear-minded,Clear-minded,Few mistakes,Not motivated,Self-aware,Forgetful,Clear-minded,Clear-minded,Positive outlook,Normal
Always distracted,Invested,Self-aware,Drained,Few mistakes,Ready to go,Enthusiastic,Drained,Foggy mind,Few mistakes,Ready to go,I recharge through entertainment,Good stamina,Positive outlook,Clear-minded,Rarely feel tired,Good focus,Refreshed,Good stamina,Rarely feel tired,Normal
I recharge through entertainment,Good stamina,Patient,Patient,Challenging but good,Enthusiastic,Challenging but good,Self-aware,In good physical condition,Sharp memory,Positive outlook,I recharge through entertainment,Patient,Invested,Self-aware,Invested,Enthusiastic,Focused,Focused,Patient,Normal
Invested,Indifferent,Self-aware,Patient,In good physical condition,Good stamina,Refreshed,Indifferent,Enthusiastic,Not motivated,Refreshed,Few mistakes,Not motivated,Quick to anger,Rarely feel tired,Rarely feel tired,Focused,Challenging but good,Sharp memory,Good stamina,Normal
Enthusiastic,Low mood,Challenging but good,Good focus,Easily distracted,Low mood,Invested,Self-aware,Clear-minded,Mostly engaged,Sharp memory,I recharge through entertainment,Emotionally stable,Invested,Enthusiastic,Indifferent,Always distracted,Not motivated,Challenging but good,No energy at all,Normal
Focused,Refreshed,Challenging but good,Enthusiastic,Few mistakes,Mostly engaged,Good focus,Good focus,Emotionally stable,Indifferent,Self-aware,Few mistakes,Few mistakes,Ready to go,I recharge through entertainment,Self-aware,Clear-minded,Positive outlook,Focused,Invested,Normal
Emotionally stable,Patient,Loses focus,Focused,Easily distracted,Few mistakes,Easily distracted,Quick to anger,Focused,Mostly engaged,No energy at all,Focused,In good physical condition,Not motivated,Good stamina,In good physical condition,Sharp memory,Focused,Loses focus,Patient,Normal
Positive outlook,I recharge through entertainment,Good stamina,Invested,No energy at all,Emotionally stable,Rarely feel tired,Forgetful,Enthusiastic,Rarely feel tired,Good stamina,Sharp memory,Positive outlook,Mostly engaged,In good physical condition,Good focus,I recharge through entertainment,Patient,Refreshed,I recharge through entertainment,Normal
Mostly engaged,Rarely feel tired,Good focus,Good stamina,In good physical condition,Self-aware,Patient,Loses focus,Patient,I recharge through entertainment,Good focus,Forgetful,Patient,Emotionally stable,Refreshed,Enthusiastic,Ready to go,Indifferent,Sharp memory,Self-aware,Normal
Self-aware,Loses focus,Patient,In good physical condition,Few mistakes,Refreshed,Good focus,I recharge through entertainment,Challenging but good,Good stamina,Few mistakes,Ready to go,Self-aware,Focused,Challenging but good,No energy at all,Positive outlook,Refreshed,Sharp memory,Always distracted,Normal
Self-aware,Positive outlook,Challenging but good,Mostly engaged,Emotionally stable,Self-aware,Ready to go,Invested,Few mistakes,Challenging but good,Mostly engaged,Challenging but good,Mostly engaged,Mostly engaged,Emotionally stable,Challenging but good,Sharp memory,In good physical condition,Positive outlook,Patient,Normal
Few mistakes,Clear-minded,Ready to go,Refreshed,Focused,Positive outlook,Few mistakes,Forgetful,Sharp memory,Invested,Loses focus,Loses focus,Positive outlook,Loses focus,Challenging but good,Good stamina,Few mistakes,Enthusiastic,Mostly engaged,Mostly engaged,Normal
Refreshed,Clear-minded,Self-aware,Challenging but good,Ready to go,Refreshed,No energy at all,Refreshed,Challenging but good,Enthusiastic,Refreshed,Rarely feel tired,Emotionally stable,Enthusiastic,Few mistakes,Patient,Forgetful,Focused,Few mistakes,Sharp memory,Normal
Not motivated,Few mistakes,Positive outlook,Few mistakes,Positive outlook,Always distracted,Good focus,Patient,Enthusiastic,Rarely feel tired,Forgetful,Mostly engaged,Loses focus,Patient,Enthusiastic,Indifferent,Emotionally stable,Patient,Mostly engaged,Refreshed,Normal
Self-aware,Enthusiastic,Good focus,Good focus,Good focus,In good physical condition,Positive outlook,Few mistakes,I recharge through entertainment,Focused,Self-aware,Enthusiastic,In good physical condition,Focused,Invested,Foggy mind,Positive outlook,Ready to go,Mostly engaged,In good physical condition,Normal
Positive outlook,In good physical condition,Good stamina,Good focus,Easily distracted,Indifferent,Few mistakes,In good physical condition,Emotionally stable,Refreshed,In good physical condition,Enthusiastic,Refreshed,Good focus,Low mood,Positive outlook,Emotionally stable,Self-aware,I recharge through entertainment,Always distracted,Normal
Refreshed,Mostly engaged,Clear-minded,Mostly engaged,Ready to go,Low mood,Refreshed,Quick to anger,Mostly engaged,Clear-minded,Invested,Good stamina,Sharp memory,Focused,Low mood,Ready to go,In good physical condition,Emotionally stable,No energy at all,Enthusiastic,Normal
Forgetful,Mostly engaged,Ready to go,I recharge through entertainment,Sharp memory,Forgetful,Clear-minded,Ready to go,Mostly engaged,Forgetful,Quick to anger,Enthusiastic,Forgetful,Refreshed,Focused,Good focus,Ready to go,Clear-minded,Few mistakes,In good physical condition,Normal
Self-aware,Foggy mind,Emotionally stable,Emotionally stable,Indifferent,I recharge through entertainment,Good focus,Mostly engaged,In good physical condition,Invested,Few mistakes,Clear-minded,Emotionally stable,Clear-minded,Easily distracted,Clear-minded,Always distracted,Clear-minded,Self-aware,Challenging but good,Normal
